1	chr1
10	chr10
HSCHR10_1_CTG1	chr10_GL383545v1_alt
HSCHR10_1_CTG2	chr10_GL383546v1_alt
HSCHR10_1_CTG3	chr10_KI270824v1_alt
HSCHR10_1_CTG4	chr10_KI270825v1_alt
11	chr11
HSCHR11_1_CTG1_1	chr11_GL383547v1_alt
HG142_HG150_NOVEL_TEST	chr11_JH159136v1_alt
HG151_NOVEL_TEST	chr11_JH159137v1_alt
KI270721.1	chr11_KI270721v1_random
HSCHR11_1_CTG2	chr11_KI270826v1_alt
HSCHR11_1_CTG3	chr11_KI270827v1_alt
HSCHR11_1_CTG5	chr11_KI270829v1_alt
HSCHR11_1_CTG6	chr11_KI270830v1_alt
HSCHR11_1_CTG7	chr11_KI270831v1_alt
HSCHR11_1_CTG8	chr11_KI270832v1_alt
HSCHR11_2_CTG1	chr11_KI270902v1_alt
HSCHR11_2_CTG1_1	chr11_KI270903v1_alt
HSCHR11_3_CTG1	chr11_KI270927v1_alt
12	chr12
HSCHR12_1_CTG2	chr12_GL383549v1_alt
HSCHR12_1_CTG2_1	chr12_GL383550v2_alt
HSCHR12_4_CTG2_1	chr12_GL383551v1_alt
HSCHR12_2_CTG2_1	chr12_GL383552v1_alt
HSCHR12_3_CTG2_1	chr12_GL383553v2_alt
HSCHR12_1_CTG1	chr12_GL877875v1_alt
HSCHR12_2_CTG2	chr12_GL877876v1_alt
HSCHR12_5_CTG2_1	chr12_KI270833v1_alt
HSCHR12_6_CTG2_1	chr12_KI270834v1_alt
HSCHR12_4_CTG2	chr12_KI270835v1_alt
HSCHR12_7_CTG2_1	chr12_KI270836v1_alt
HSCHR12_5_CTG2	chr12_KI270837v1_alt
HSCHR12_3_CTG2	chr12_KI270904v1_alt
13	chr13
HSCHR13_1_CTG1	chr13_KI270838v1_alt
HSCHR13_1_CTG2	chr13_KI270839v1_alt
HSCHR13_1_CTG3	chr13_KI270840v1_alt
HSCHR13_1_CTG4	chr13_KI270841v1_alt
HSCHR13_1_CTG5	chr13_KI270842v1_alt
HSCHR13_1_CTG6	chr13_KI270843v1_alt
14	chr14
GL000009.2	chr14_GL000009v2_random
GL000194.1	chr14_GL000194v1_random
GL000225.1	chr14_GL000225v1_random
KI270722.1	chr14_KI270722v1_random
KI270723.1	chr14_KI270723v1_random
KI270724.1	chr14_KI270724v1_random
KI270725.1	chr14_KI270725v1_random
KI270726.1	chr14_KI270726v1_random
HSCHR14_1_CTG1	chr14_KI270844v1_alt
HSCHR14_2_CTG1	chr14_KI270845v1_alt
HSCHR14_3_CTG1	chr14_KI270846v1_alt
HSCHR14_7_CTG1	chr14_KI270847v1_alt
15	chr15
HSCHR15_1_CTG8	chr15_GL383554v1_alt
HSCHR15_2_CTG8	chr15_GL383555v2_alt
KI270727.1	chr15_KI270727v1_random
HSCHR15_1_CTG3	chr15_KI270848v1_alt
HSCHR15_3_CTG8	chr15_KI270849v1_alt
HSCHR15_5_CTG8	chr15_KI270850v1_alt
HSCHR15_3_CTG3	chr15_KI270851v1_alt
HSCHR15_1_CTG1	chr15_KI270852v1_alt
HSCHR15_4_CTG8	chr15_KI270905v1_alt
HSCHR15_2_CTG3	chr15_KI270906v1_alt
16	chr16
HSCHR16_1_CTG3_1	chr16_GL383556v1_alt
HSCHR16_2_CTG3_1	chr16_GL383557v1_alt
KI270728.1	chr16_KI270728v1_random
HSCHR16_1_CTG1	chr16_KI270853v1_alt
HSCHR16_CTG2	chr16_KI270854v1_alt
HSCHR16_3_CTG1	chr16_KI270855v1_alt
HSCHR16_4_CTG1	chr16_KI270856v1_alt
17	chr17
GL000205.2	chr17_GL000205v2_random
HSCHR17_1_CTG5	chr17_GL000258v2_alt
HSCHR17_1_CTG1	chr17_GL383563v3_alt
HSCHR17_1_CTG4	chr17_GL383564v2_alt
HSCHR17_2_CTG4	chr17_GL383565v1_alt
HSCHR17_3_CTG4	chr17_GL383566v1_alt
HSCHR17_4_CTG4	chr17_JH159146v1_alt
HSCHR17_5_CTG4	chr17_JH159147v1_alt
HSCHR17_6_CTG4	chr17_JH159148v1_alt
KI270729.1	chr17_KI270729v1_random
KI270730.1	chr17_KI270730v1_random
HSCHR17_7_CTG4	chr17_KI270857v1_alt
HSCHR17_8_CTG4	chr17_KI270858v1_alt
HSCHR17_9_CTG4	chr17_KI270859v1_alt
HSCHR17_1_CTG9	chr17_KI270860v1_alt
HSCHR17_1_CTG2	chr17_KI270861v1_alt
HSCHR17_2_CTG2	chr17_KI270862v1_alt
HSCHR17_2_CTG1	chr17_KI270907v1_alt
HSCHR17_2_CTG5	chr17_KI270908v1_alt
HSCHR17_10_CTG4	chr17_KI270909v1_alt
HSCHR17_3_CTG2	chr17_KI270910v1_alt
18	chr18
HSCHR18_1_CTG1_1	chr18_GL383567v1_alt
HSCHR18_1_CTG2	chr18_GL383568v1_alt
HSCHR18_1_CTG2_1	chr18_GL383569v1_alt
HSCHR18_2_CTG1_1	chr18_GL383570v1_alt
HSCHR18_2_CTG2	chr18_GL383571v1_alt
HSCHR18_2_CTG2_1	chr18_GL383572v1_alt
HSCHR18_3_CTG2_1	chr18_KI270863v1_alt
HSCHR18_4_CTG1_1	chr18_KI270864v1_alt
HSCHR18_ALT2_CTG2_1	chr18_KI270911v1_alt
HSCHR18_ALT21_CTG2_1	chr18_KI270912v1_alt
19	chr19
HSCHR19KIR_RP5_B_HAP_CTG3_1	chr19_GL000209v2_alt
HSCHR19_1_CTG2	chr19_GL383573v1_alt
